nIdPessoa;pediu_para_sair;abs_eventos;abs_qtd_total;horas_previstas_total;acidentes_eventos;acidentes_com_afastamento;acidentes_dias_perdidos;he_eventos;he_referencia_total;he_valor_total;hi_eventos;hi_minutos_irregulares;hi_minutos_extras;mov_sal_eventos;mov_sal_valor_total;mov_sal_perc_medio
317783;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
144249;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;57.0;11001.0;0.0;3.0;152.704413330653;0.0327999999999999
98643;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
135936;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9.0;3454.0;0.0;4.0;199.422286946252;0.04675
104142;1;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;6.0;2494.0;0.0;1.0;102.15925925926;0.08
260598;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
232573;1;0.0;0.0;0.0;0.0;0.0;0.0;20.0;122.28;1370.76;4.0;772.0;0.0;4.0;274.341193165739;0.050425
186668;1;0.0;0.0;0.0;0.0;0.0;0.0;5.0;1.4300000000000002;15.6;1.0;387.0;0.0;2.0;84.547299877191;0.0327
178403;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;507.0;0.0;4.0;100.11110235676932;0.021725
188124;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;27.0;2408.0;0.0;3.0;202.70412184301;0.0425333333333333
84577;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
136846;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;1045.0;0.0;2.0;206.356099843994;0.0878
171948;1;0.0;0.0;0.0;0.0;0.0;0.0;3.0;7.37;78.96;1.0;105.0;0.0;1.0;25.736274509804;0.02
263152;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;482.0;0.0;3.0;78.041955595584;0.0227333333333333
381760;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
207474;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
16711;0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;2.0;68.0;0.0;4.0;224.342670822669;0.0486
410843;0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;1.45;26.700000000000003;0.0;0.0;0.0;0.0;0.0;0.0
228335;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
79883;1;0.0;0.0;0.0;0.0;0.0;0.0;37.0;127.52;1745.53;70.0;23440.0;0.0;7.0;329.128544311562;0.0358
279529;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
287358;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
30580;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
332350;1;0.0;0.0;0.0;0.0;0.0;0.0;3.0;3.35;41.59;1.0;537.0;0.0;1.0;162.68189052935;0.1108
215159;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
279240;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
382883;1;0.0;0.0;0.0;0.0;0.0;0.0;2.0;6.18;75.14;2.0;900.0;0.0;0.0;0.0;0.0
229998;1;0.0;0.0;0.0;0.0;0.0;0.0;27.0;109.38;1518.8;12.0;6073.0;0.0;4.0;330.15542882352;0.058275
214702;0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;9.0;4146.0;0.0;2.0;66.55847305293901;0.0283
368519;1;0.0;0.0;0.0;0.0;0.0;0.0;2.0;16.52;246.62;25.0;5072.0;0.0;0.0;0.0;0.0
286821;1;0.0;0.0;0.0;0.0;0.0;0.0;6.0;13.7;160.94;1.0;515.0;0.0;0.0;0.0;0.0
191334;1;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.48;5.2;1.0;458.0;0.0;1.0;50.827692307692;0.04
357070;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
75668;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;112.77682452609;0.0418
162346;1;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;119.0;7935.0;0.0;5.0;786.1148102603112;0.11086
204680;1;0.0;0.0;0.0;0.0;0.0;0.0;8.0;29.63;525.76;10.0;4048.0;0.0;4.0;547.677710368105;0.0778
354216;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
